"No","規制条件","路線名","危険内容","迂回路","備考","地先名","経度","緯度","分類"
"11","通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡紀美野町松瀬～海草郡紀美野町毛原宮","135.337122690012","34.1586909039307","異常気象時通行規制箇所"
"12","通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡紀美野町毛原宮～海草郡紀美野町長谷宮","135.46302157926","34.1628333116491","異常気象時通行規制箇所"
"13","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡伊都郡界～伊都郡高野町矢立","135.491328262868","34.188491065151","異常気象時通行規制箇所"
"14","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","","橋本市向副～伊都郡高野町高野山","135.613593479917","34.3123498948277","異常気象時通行規制箇所"
"15","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","","伊都郡高野町高野山～伊都郡かつらぎ町大字花園中南","135.588369009321","34.2126305697182","異常気象時通行規制箇所"
"16","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","（県）高野天川線 野迫川村林道","高野龍神スカイライン","伊都郡高野町高野山～伊都郡かつらぎ町大字花園箕峠","135.605067441706","34.2160505681122","異常気象時通行規制箇所"
"17","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","高野龍神スカイライン","伊都郡かつらぎ町大字花園箕峠～田辺市龍神村大熊","135.546767489121","34.0661461261321","異常気象時通行規制箇所"
"18","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３７１号","落石、崩土の恐れ","","","田辺市中辺路町小松原～田辺市中辺路町高原","135.547803852807","33.8698682254354","異常気象時通行規制箇所"
"19","通行止め：連続雨量160mm以上、時間雨量40mm以上","国道 ３７１号","落石、崩土の恐れ","","","田辺市平瀬～田辺市合川","135.588523639068","33.7683505460761","異常気象時通行規制箇所"
"20","通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","（町）下露三河平井線","","東牟婁郡古座川町平井～東牟婁郡古座川町湯の花","135.673859487919","33.6690936083628","異常気象時通行規制箇所"
"21","通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","","東牟婁郡古座川町三尾川～東牟婁郡古座川町一雨","135.688831792849","33.5581863547989","異常気象時通行規制箇所"
"22","通行止め：連続雨量200mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","","東牟婁郡古座川町一雨～東牟婁郡串本町高富","135.741158067131","33.5338202651245","異常気象時通行規制箇所"
"23","通行止め：連続雨量80mm以上","国道 ４２４号","落石、崩土の恐れ","","","海南市ひや水～海南市上谷","135.271569141251","34.1364319244407","異常気象時通行規制箇所"
"24","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","海南市有田郡界～有田郡有田川町有原","135.28748813478","34.1248035988263","異常気象時通行規制箇所"
"25","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","田辺市龍神村小家～田辺市龍神村福井","135.427732162206","33.9345482235028","異常気象時通行規制箇所"
"26","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","田辺市龍神村福井～日高郡みなべ町清川","135.419304664867","33.8803341287336","異常気象時通行規制箇所"
"27","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","日高郡みなべ町清川～日高郡みなべ町西本庄","135.398377373726","33.8529767293004","異常気象時通行規制箇所"
"28","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","","田辺市龍神村福井～田辺市龍神村柳瀬","135.439312606973","33.8901434801052","異常気象時通行規制箇所"
"29","通行止め：連続雨量110mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","","田辺市龍神村湯本～和歌山県・奈良県界","135.560610114773","33.949969515562","異常気象時通行規制箇所"
"30","通行止め：連続雨量130mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","和歌山県・大阪府界～伊都郡かつらぎ町平","135.466515116417","34.3479524832279","異常気象時通行規制箇所"
"31","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","伊都郡高野町矢立～伊都郡高野町高野山","135.537013254747","34.2194386211525","異常気象時通行規制箇所"
"32","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町川口～有田郡有田川町二川","135.314678282313","34.0480928690036","異常気象時通行規制箇所"
"33","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町二川～有田郡有田川町清水","135.35748373295","34.0730910239994","異常気象時通行規制箇所"
"34","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町清水～有田郡伊都郡界","135.43244684024","34.0841714830255","異常気象時通行規制箇所"
"35","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡伊都郡界～伊都郡かつらぎ町大字花園中南","135.515878040961","34.1306981455747","異常気象時通行規制箇所"
"36","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 かつらぎ桃山線","落石、崩土の恐れ","","","紀の川市下鞆渕～紀の川市桃山町神田","135.429022928533","34.2115370370565","異常気象時通行規制箇所"
"37","通行止め：連続雨量120mm以上","主要道 高野口野上線","落石、崩土の恐れ","","","海草郡紀美野町松瀬～海草郡那賀郡界","135.337142684641","34.1588008919713","異常気象時通行規制箇所"
"38","通行止め：連続雨量120mm以上","主要道 海南金屋線","落石、崩土の恐れ","","","海南市別所～海南市海草郡界","135.249600952066","34.1396610606762","異常気象時通行規制箇所"
"39","通行止め：連続雨量120mm以上","主要道 美里龍神線","落石、地滑りの恐れ","","","海草郡紀美野町樋下～海草郡紀美野町上ヶ井","135.358341163856","34.1488624968996","異常気象時通行規制箇所"
"40","通行止め：連続雨量180mm以上、時間雨量30mm以上","主要道 有田湯浅線","落石、崩土の恐れ","","","有田市高田～有田郡湯浅町田","135.137413236993","34.0634971160822","異常気象時通行規制箇所"
"41","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 御坊由良線","落石、崩土の恐れ","","越波","日高郡由良町大引～日高郡由良町小引","135.080421254122","33.969876391487","異常気象時通行規制箇所"
"42","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 御坊美山線","落石、崩土の恐れ","","","日高郡日高町川原河～日高郡日高川町高津尾","135.363786214947","33.9806515822587","異常気象時通行規制箇所"
"43","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 田辺龍神線","落石、崩土の恐れ","","区域外Ａ型１基B型1基ﾓﾆﾀｰ1人","田辺市上秋津～西牟婁・日高郡界","135.412068863207","33.7705362990875","異常気象時通行規制箇所"
"44","","主要道 白浜温泉線","高潮、落石、冠水の恐れ","","台風時高潮の予想される場合OP+3","西牟婁郡白浜町瀬戸～西牟婁郡白浜町江津良","135.343157466094","33.6893238571284","異常気象時通行規制箇所"
"45","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 上富田すさみ線","落石、崩土の恐れ","","区域外Ａ型１基","西牟婁郡すさみ町防己～西牟婁郡すさみ町江住","135.620306822561","33.5856217336346","異常気象時通行規制箇所"
"46","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 日置川大塔線","落石、崩土の恐れ","","区域外Ａ型１基","西牟婁郡白浜町田野井～田辺市合川","135.496705404135","33.6508116390156","異常気象時通行規制箇所"
"47","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 すさみ古座線","落石、崩土の恐れ","","","西牟婁郡すさみ町曲利～西牟婁郡すさみ町防己","135.51148703676","33.5605420790164","異常気象時通行規制箇所"
"48","通行止め：連続雨量180mm以上、時間雨量45mm以上","主要道 串本古座川線","落石、崩土の恐れ","","","東牟婁郡古座川町下地～東牟婁郡串本町和深","135.688191848082","33.5581863402831","異常気象時通行規制箇所"
"49","","主要道 樫野串本線","強風、高潮の恐れ","","強風・越波","東牟婁郡串本町大島～東牟婁郡串本町出雲","135.799185278934","33.4654192189674","異常気象時通行規制箇所"
"50","通行止め：連続雨量200mm以上、時間雨量50mm以上","主要道 潮岬周遊線","落石、崩土の恐れ","","越波","東牟婁郡串本町串本～東牟婁郡串本町出雲","135.792996238988","33.4522005531641","異常気象時通行規制箇所"
"51","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 那智勝浦古座川線","落石、崩土の恐れ","","","東牟婁郡古座川町小森川～東牟婁郡古座川町直見","135.801819217192","33.6451292045843","異常気象時通行規制箇所"
"52","通行止め：連続雨量160mm以上、時間雨量50mm以上","主要道 那智勝浦古座川線","落石の恐れ","","","東牟婁郡那智勝浦町南平野～古座川町那智勝浦町界","135.884031992832","33.6491806298048","異常気象時通行規制箇所"
"53","通行止め：連続雨量180mm以上、時間雨量50mm以上","主要道 那智勝浦熊野川線","落石の恐れ","","","新宮市熊野川町小口～新宮市熊野川町滝本","135.838672370203","33.7571375121407","異常気象時通行規制箇所"
"54","通行止め：連続雨量180mm以上、時間雨量50mm以上","主要道 那智勝浦本宮線","落石、冠水の恐れ","","","東牟婁郡那智勝浦町南大居～東牟婁郡那智勝浦町口色川","135.889263391775","33.5925370793898","異常気象時通行規制箇所"
"55","通行止め：連続雨量250mm以上、時間雨量50mm以上","主要道 那智山勝浦線","落石の恐れ","","","東牟婁郡那智勝浦町那智山～東牟婁郡那智勝浦町市野々","135.891610620404","33.6711483470407","異常気象時通行規制箇所"
"56","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 高野天川線","落石、崩土の恐れ","","","伊都郡高野町高野山～和歌山・奈良県界","135.612346720048","34.2186904378763","異常気象時通行規制箇所"
"57","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 泉佐野打田線","落石、崩土の恐れ","泉佐野岩出線","","紀の川市神通～紀の川市重行","135.373193843731","34.330642298737","異常気象時通行規制箇所"
"58","通行止め：連続雨量150mm以上","主要道 泉佐野岩出線","落石、崩土の恐れ","","","和歌山県・大阪府界～岩出市根来","135.307310137403","34.3145026164353","異常気象時通行規制箇所"
"59","通行止め：連続雨量150mm以上","主要道 和歌山貝塚線","落石、崩土の恐れ","","","和歌山市滝畑","135.269343781242","34.3047028577661","異常気象時通行規制箇所"
"60","通行止め：連続雨量150mm以上","主要道 岬加太港線","落石、崩土の恐れ","粉川加太線 （国）２６号","","和歌山県・大阪府界～和歌山市深山","135.09327896371","34.3114680835683","異常気象時通行規制箇所"
"61","通行止め：連続雨量120mm以上、時間雨量30mm以上","県道 垣内貴志川線","落石、崩土の恐れ","","","紀の川市桃山町中畑～紀の川市貴志川町井ノ口","135.42163431782","34.1890494066012","異常気象時通行規制箇所"
"62","通行止め：連続雨量120mm以上","県道 秋月海南線","落石、崩土の恐れ","","","海南市且来～海南市神田","135.23235154384","34.1674675286978","異常気象時通行規制箇所"
"63","通行止め：連続雨量150mm以上","県道 興加茂郷停車場線","落石、崩土の恐れ","","","海南市下津町加茂郷～海南市下津町曾根田","135.166828569748","34.1277205312565","異常気象時通行規制箇所"
"64","通行止め：連続雨量120mm以上","県道 大崎加茂郷停車場線","地滑りの恐れ","","","海南市下津町大崎","135.132831334058","34.1339890534967","異常気象時通行規制箇所"
"65","通行止め：連続雨量120mm以上","県道 野上清水線","落石、崩土の恐れ","","","海草郡・有田郡界～海草郡紀美野町宮ノ前","135.346488429619","34.1161993531845","異常気象時通行規制箇所"
"66","通行止め：連続雨量150mm以上、時間雨量40mm以上","県道 日の岬公園線","落石、崩土の恐れ","","越波","日高郡美浜町三尾～日高郡美浜町日ノ岬","135.060425876436","33.8808259770148","異常気象時通行規制箇所"
"67","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 近露平瀬線","落石、崩土の恐れ","","","田辺市中辺路町近露～田辺市平瀬","135.604160796855","33.8139257893909","異常気象時通行規制箇所"
"68","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 平瀬上三栖線","地滑り、落石の恐れ","","","田辺市中辺路町西谷","135.472813432297","33.7755371130446","異常気象時通行規制箇所"
"69","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 下川上牟婁線","落石、崩土の恐れ","","","田辺市鮎川～田辺市上野","135.57722560445","33.7380436876092","異常気象時通行規制箇所"
"70","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 下川上牟婁線","落石、崩土の恐れ","","","西牟婁郡上富田町市ノ瀬","135.469765685966","33.7142139234581","異常気象時通行規制箇所"
"71","通行止め：連続雨量180mm以上、時間雨量45mm以上","県道 古座川熊野川線","落石、崩土の恐れ","（国）３７１号 （町）下露三河平井線","","東牟婁郡古座川町松根～東牟婁郡古座川町佐田","135.714835917318","33.6700044388482","異常気象時通行規制箇所"
"72","通行止め：連続雨量180mm以上、時間雨量50mm以上","県道 高田相賀線","落石、冠水の恐れ","","","新宮市相賀～新宮市俵石","135.937804241089","33.7440912466218","異常気象時通行規制箇所"
"73","通行止め：連続雨量160mm以上、時間雨量50mm以上","県道 南平野下里停車場線","落石の恐れ","","","東牟婁郡那智勝浦町南平野～東牟婁郡那智勝浦町井鹿","135.884141999695","33.6486806882122","異常気象時通行規制箇所"
"74","通行止め：連続雨量180mm以上、時間雨量50mm以上","県道 南平野下里停車場線","落石、冠水の恐れ","","","東牟婁郡那智勝浦町南大居～東牟婁郡那智勝浦町市屋","135.893752764505","33.5999063587375","異常気象時通行規制箇所"
"75","通行止め：連続雨量160mm以上、時間雨量50mm以上","県道 静川請川線","落石、冠水の恐れ","","","田辺市本宮町平～田辺市本宮町耳打","135.743619585561","33.7876319204738","異常気象時通行規制箇所"
"76","通行止め：連続雨量200mm以上、時間雨量50mm以上","県道 日置川すさみ線","落石、冠水の恐れ","","","西牟婁郡白浜町塩野～西牟婁郡白浜町伊古木","135.451151965849","33.5695397118618","異常気象時通行規制箇所"
"114","通行止め：連続雨量250mm以上","国道 ２６号","大雨の恐れ","","","大阪府泉南郡岬町孝子～和歌山県貴志中","135.148135074482","34.2837824640204","異常気象時通行規制箇所"
"123","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡串本町田原～東牟婁郡串本町津荷","135.870726950043","33.5322933836229","異常気象時通行規制箇所"
"124","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡串本町有田～東牟婁郡串本町田並","135.736500011506","33.4861054878609","異常気象時通行規制箇所"
"125","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡すさみ町見老津～同町周参見","135.495208968766","33.544233536432","異常気象時通行規制箇所"
"126","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","西東牟婁郡白浜町志原～西牟婁郡白浜町富田字高瀬","135.402803988696","33.6367710929011","異常気象時通行規制箇所"
"127","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡みなべ町山内～日高郡みなべ町東岩代","135.284779505744","33.7831520086022","異常気象時通行規制箇所"
"128","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡日高町池田～由良町里","135.123427773221","33.961548298464","異常気象時通行規制箇所"
"129","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡由良町畑～有田郡広川町河瀬","135.190090634282","34.0023652015125","異常気象時通行規制箇所"
"1","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","","新宮市南磐盾～新宮市熊野川町・田辺市境界","135.809422393522","33.8333183056505","異常気象時通行規制箇所"
"2","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","","新宮市熊野川町・田辺市境界～田辺市本宮町土河屋（県境）","135.760204867823","33.8874811015129","異常気象時通行規制箇所"
"3","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","新宮市熊野川町宮井～新宮市熊野川町九重（県境）","135.857106940343","33.8736248809418","異常気象時通行規制箇所"
"4","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","新宮市熊野川町玉置口(県境）～新宮市熊野川町田戸（県境）","135.881133490345","33.9150907825392","異常気象時通行規制箇所"
"5","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","東牟婁郡北山村下尾井～東牟婁郡北山村小松","135.917410164859","33.9207609824611","異常気象時通行規制箇所"
"6","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","区域外に情報板A型2基B型1基","田辺市鮎川～田辺市中辺路町栗栖川","135.516389141034","33.791316330609","異常気象時通行規制箇所"
"7","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","","田辺市中辺路町栗栖川～田辺市中辺路町・本宮町境界","135.671874662655","33.8221564101058","異常気象時通行規制箇所"
"8","通行止め：連続雨量160mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","","田辺市中辺路町・本宮町境界～田辺市本宮町皆地","135.729900129362","33.8072394087344","異常気象時通行規制箇所"
"9","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","","田辺市本宮町皆地～田辺市本宮町本宮","135.776385491095","33.8260183669289","異常気象時通行規制箇所"
"10","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","","伊都郡九度山町下古沢～伊都郡高野町矢立","135.537013254747","34.2194386211525","異常気象時通行規制箇所"
"11","通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡紀美野町松瀬～海草郡紀美野町毛原宮","135.463771487446","34.1636332385692","異常気象時通行規制箇所"
"12","通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡紀美野町毛原宮～海草郡紀美野町長谷宮","135.482659227712","34.1821715795417","異常気象時通行規制箇所"
"13","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","","海草郡伊都郡界～伊都郡高野町矢立","135.530043886808","34.2186885457421","異常気象時通行規制箇所"
"14","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","","橋本市向副～伊都郡高野町高野山","135.61337658571","34.2200303104402","異常気象時通行規制箇所"
"15","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","","伊都郡高野町高野山～伊都郡かつらぎ町大字花園中南","135.570463132208","34.1354988556648","異常気象時通行規制箇所"
"16","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","（県）高野天川線 野迫川村林道","高野龍神スカイライン","伊都郡高野町高野山～伊都郡かつらぎ町大字花園箕峠","135.560294867255","34.1098415138322","異常気象時通行規制箇所"
"17","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","高野龍神スカイライン","伊都郡かつらぎ町大字花園箕峠～田辺市龍神村大熊","135.562438509507","33.9939346126169","異常気象時通行規制箇所"
"18","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３７１号","落石、崩土の恐れ","","","田辺市中辺路町小松原～田辺市中辺路町高原","135.525198064372","33.8009254522106","異常気象時通行規制箇所"
"19","通行止め：連続雨量160mm以上、時間雨量40mm以上","国道 ３７１号","落石、崩土の恐れ","","","田辺市平瀬～田辺市合川","135.56830796032","33.6892989483568","異常気象時通行規制箇所"
"20","通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","（町）下露三河平井線","","東牟婁郡古座川町平井～東牟婁郡古座川町湯の花","135.685270630359","33.6035612006079","異常気象時通行規制箇所"
"21","通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","","東牟婁郡古座川町三尾川～東牟婁郡古座川町一雨","135.741108070472","33.5338502606385","異常気象時通行規制箇所"
"22","通行止め：連続雨量200mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","","東牟婁郡古座川町一雨～東牟婁郡串本町高富","135.762797827418","33.4835563689673","異常気象時通行規制箇所"
"23","通行止め：連続雨量80mm以上","国道 ４２４号","落石、崩土の恐れ","","","海南市ひや水～海南市上谷","135.287348144361","34.1248835866163","異常気象時通行規制箇所"
"24","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","海南市有田郡界～有田郡有田川町有原","135.279409989429","34.0897773673717","異常気象時通行規制箇所"
"25","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","田辺市龍神村小家～田辺市龍神村福井","135.439732556136","33.890583440181","異常気象時通行規制箇所"
"26","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","田辺市龍神村福井～日高郡みなべ町清川","135.398457363199","33.8530867187512","異常気象時通行規制箇所"
"27","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","","日高郡みなべ町清川～日高郡みなべ町西本庄","135.328454952255","33.8066203570305","異常気象時通行規制箇所"
"28","通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","","田辺市龍神村福井～田辺市龍神村柳瀬","135.4696703136","33.8796453496667","異常気象時通行規制箇所"
"29","通行止め：連続雨量110mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","","田辺市龍神村湯本～和歌山県・奈良県界","135.638902869517","33.9636597661326","異常気象時通行規制箇所"
"30","通行止め：連続雨量130mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","和歌山県・大阪府界～伊都郡かつらぎ町平","135.479184447891","34.3348642544239","異常気象時通行規制箇所"
"31","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","伊都郡高野町矢立～伊都郡高野町高野山","135.588429000433","34.2127405586901","異常気象時通行規制箇所"
"32","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町川口～有田郡有田川町二川","135.357843674326","34.0739209386262","異常気象時通行規制箇所"
"33","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町二川～有田郡有田川町清水","135.428697215111","34.0827015631601","異常気象時通行規制箇所"
"34","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡有田川町清水～有田郡伊都郡界","135.570603126332","34.1353088802882","異常気象時通行規制箇所"
"35","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","","有田郡伊都郡界～伊都郡かつらぎ町大字花園中南","135.570603124342","34.1353688735266","異常気象時通行規制箇所"
"36","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 かつらぎ桃山線","落石、崩土の恐れ","","","紀の川市下鞆渕～紀の川市桃山町神田","135.356678712477","34.227433587536","異常気象時通行規制箇所"
"37","通行止め：連続雨量120mm以上","主要道 高野口野上線","落石、崩土の恐れ","","","海草郡紀美野町松瀬～海草郡那賀郡界","135.414615048243","34.1854696501601","異常気象時通行規制箇所"
"38","通行止め：連続雨量120mm以上","主要道 海南金屋線","落石、崩土の恐れ","","","海南市別所～海南市海草郡界","135.24224216685","34.1222228621487","異常気象時通行規制箇所"
"39","通行止め：連続雨量120mm以上","主要道 美里龍神線","落石、地滑りの恐れ","","","海草郡紀美野町樋下～海草郡紀美野町上ヶ井","135.374280706654","34.120586050583","異常気象時通行規制箇所"
"40","通行止め：連続雨量180mm以上、時間雨量30mm以上","主要道 有田湯浅線","落石、崩土の恐れ","","","有田市高田～有田郡湯浅町田","135.156801952527","34.0509989644764","異常気象時通行規制箇所"
"41","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 御坊由良線","落石、崩土の恐れ","","越波","日高郡由良町大引～日高郡由良町小引","135.088650204913","33.9800954244665","異常気象時通行規制箇所"
"42","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 御坊美山線","落石、崩土の恐れ","","","日高郡日高町川原河～日高郡日高川町高津尾","135.291823103799","33.9614921079273","異常気象時通行規制箇所"
"43","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 田辺龍神線","落石、崩土の恐れ","","区域外Ａ型１基B型1基ﾓﾆﾀｰ1人","田辺市上秋津～西牟婁・日高郡界","135.443573832911","33.8411990772306","異常気象時通行規制箇所"
"44","","主要道 白浜温泉線","高潮、落石、冠水の恐れ","","台風時高潮の予想される場合OP+3","西牟婁郡白浜町瀬戸～西牟婁郡白浜町江津良","135.352326550946","33.693043646398","異常気象時通行規制箇所"
"45","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 上富田すさみ線","落石、崩土の恐れ","","区域外Ａ型１基","西牟婁郡すさみ町防己～西牟婁郡すさみ町江住","135.602700613527","33.5152692013042","異常気象時通行規制箇所"
